file,titlead98979eada6e333a276d39efdce21779d538625.json,Xanthine-based acyclic nucleoside phosphonates with potent antiviral activity against varicella-zoster virus and human cytomegalovirus
f905f78b32f63c6d14a79984dfb33f1b358b8ab4.json,Multimerization of HIV-1 integrase hinges on conserved SH3-docking platforms
91dfd944dfdd855dc858daf68d7af0f180d81fb1.json,Heteroaromatic ester inhibitors of hepatitis A virus 3C proteinase: Evaluation of mode of action
2106f8105f3cb30bf479fdcb6d78e4891a204080.json,Crystal structures of a bacterial dipeptidyl peptidase IV reveal a novel substrate recognition mechanism distinct from that of mammalian orthologues
a190fd77c8432d20849ebf73d31446fd881ee1e7.json,Chapter Outline
c19f426a9602e64794abc621c69358c119448fbc.json,molecules Synthetic Compounds with 2-Amino-1
1767dc346302e4909eb15785ad15a0f3793551ad.json,Rational design of highly potent HIV-1 fusion inhibitory proteins: Implication for developing antiviral therapeutics
246f59ddffedd4a166b9317dee38bdf6077b2f3f.json,Identification of novel multitargeted PPARα/γ/δ pan agonists by core hopping of rosiglitazone
16874a8b95e04383b0ee7049220a36354ffab2ea.json,medicines Inhibition of Homophilic Interactions and Ligand Binding of the Receptor for Advanced Glycation End Products by Heparin and Heparin-Related Carbohydrate Structures
cf92932b050dc04a8603447e063156174cff48f6.json,Sterols of the marine sponge Petrosia weinbergi: implications for the absolute configurations of the antiviral orthoesterols and weinbersterols
eb5417b7729ff5548e5b9ddcb837fa52efc586f8.json,In silico target fishing and pharmacological profiling for the isoquinoline alkaloids of Macleaya cordata (Bo Luo Hui)
c9a781f7dbf01a37e830ce4571391ea706aa298e.json,Geranylated flavonoids displaying SARS-CoV papain-like protease inhibition from the fruits of Paulownia tomentosa
ad04f777044b7de892dbc174e31e88e63a160c3c.json,Aptamers in Diagnostics and Treatment of Viral Infections
6f6e4ab0d6f5fca090211b588154bddc26e6f1ba.json,Advances in structure- assisted antiviral discovery for animal viral diseases
732933f36dc0c57fd8094f545c5e82d7192a13c7.json,Identification of isoliquiritigenin as an activator that stimulates the enzymatic production of glycyrrhetinic acid monoglucuronide OPEN
88a48452ce073c9968ca2e2794fc0bccfb5dfc0f.json,Anti-Hemagglutinin Antibody Derived Lead Peptides for Inhibitors of Influenza Virus Binding
