file,title
6599ebbef3d868afac9daa4f80fa075675cf03bc.json,International aviation emissions to 2025: Can emissions be stabilised without restricting demand?
68c0bb1989b6ca2b38da32a0d992027db39f80bc.json,Spring 2020 | 1 Beijing's Hard and Soft Repression in Hong Kong
3db98d76b1a91a3940955132dc9fccc95d1600c5.json,Bali Bombings: A Whole of Government Response 1
2933cf51ec074173b54ccecf9d945a7785ccf4bb.json,Structural breaks in international tourism demand: Are they caused by crises or disasters?
7a573001d0844b483871d264983ef4a6d9fde937.json,VIEWPOINTS PaPErS journal of health global Improving health aid for a better planet: The planning
f44c285b42a7a383dcf9ea46db5ad4aa025e5d67.json,ScienceDirect Use incentive approach to promote BAT/BEP for centralized incineration facilities of medical waste in China
e296fa71274bad6cabcf683a2ba47e58b1326877.json,International Journal of Health Geographics Musings on privacy issues in health research involving disaggregate geographic data about individuals
ae4aafc844b48dd56e720695758e632188e71daa.json,The duty to treat in the context of an influenza pandemic
fb3435c54475296a0dec9396335be9d60caef40e.json,On evaluating the impact of flexibility enhancing strategies on the performance of nurse schedules
b1a61e5a2eee47ec7d39715451c05879d11a5de0.json,Vector control in Zika-affected communities: Local views on community engagement and public health ethics during outbreaks
551d200fafe21b575108018aeb0f39b995c99dce.json,IS HUMAN RIGHTS PREPARED? RISK
651559e297eafee92443b818b2dff13e9b9c3034.json,Perceived value
d69356747d4f5a940f9d2ee6e643d895b33f678e.json,China's Engagement with Global Health Diplomacy: Was SARS a Watershed?
54b5dbd04a27590d6b7d0e0e899cbec62c9f91c0.json,Beyond Disaster Preparedness: Building a Resilience-Oriented Workforce for the Future
ed92789659fddd64f955bda40d980398b681bb6b.json,Are we prepared? The development of performance indicators for public health emergency preparedness using a modified Delphi approach
83eaa2f75251e0ef105dd3922dc498012e4a7d0a.json,Major Factors Influencing Consumer Selection of Travel Agencies
3710b91fd1465faf44d583bd4ef0914154351545.json,Big Data in Public Health: Terminology
4631d1a1d9384ce4aa9d96d6695417357855ce84.json,Population-based surveys and interventions for mental health literacy in China during 1997-2018: a scoping review
2d2b70166db15be7908f748930e9c56a300e5851.json,Twentieth anniversary of the European Union health mandate: taking stock of perceived achievements
f1346af9ec2c5dcf8fcf962a457f70564cef4009.json,Does world heritage list really induce more tourists? Evidence from Macau
2221e6593a50a94cc5c2f592b9f970c92d2cc2e5.json,The causal relationship between electricity consumption and economic growth in a Gaming and Tourism Center: The case of Macao SAR
9816051343f6acf13246fd5957e876a4db2c1ab7.json,Resource allocation for biomedical research: analysis of investments by major funders
85427951a71dfbdf45d1598f0265d2e8b840cd38.json,From plan to market in the health sector? China's experience
2f18a9f0e0574031406222b5b110d587391c3802.json,Has the medical reform improved the cost efficiency of Chinese hospitals?
bc42b6fb90af86f69df77bfaaaea4941916690a5.json,Thought control strategies as mediators of trauma symptoms in young women with histories of child sexual abuse
5d19d9dfc3b5ba09243665cfaa3f652b06fff3ea.json,Modelling conditional skewness: Heterogeneous beliefs
0b5547309fceffcd0966b01af596d1f12e7cbe3a.json,High-Rise Security*
cf1ced6a51226d0be3ad86be854e2903c459a434.json,-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/). Peer-review under responsibility of the Organizing Committee of HumTech2016 ScienceDirect Peer-review under responsibility of the Organizing Committee of HumTech2016
1f5138ab488c10f2d25c938f10db8acdb561edbf.json,Business transformation: Leadership
3afae08e52a576dbeb3cd4d16b1ea23d7d823244.json,Vulnerability to Poverty in South-East Asia: Drivers
bb91814bdf50b5c074284df791f7a19f0859d5b8.json,Syndromic surveillance using web data: a systematic review
9b4207dfd3411ff071fbfd0f1d6207beb42141cd.json,Nutraceuticals in Alternative and Underutilized Fruits as Functional Food Ingredients: Ancient Species for New Health Needs
6abab440f8e6a1618126da6cc2b80d69dfcba702.json,ADVANCED MANUFACTURING PROCESSES AND TECHNOLOGIES 2 CHAPTER OUTLINE
0900c2c26866f1fed9afc70835e4df7f453c39c7.json,Do natural disasters cause an excessive fear of heights? Evidence from the Wenchuan earthquake
5e87d99a155e3a0d518695c7806b8e2c1409e207.json,A survey of SNOMED CT implementations
7ef71583b82301530363fb5e9e2d08af30324ca8.json,Hospitality unionism and labour market adjustment: Toward Schumpeterian unionism?
9aeb757d98ff6f056851be24da7e8cfa6a19e7bd.json,The objectives and outcomes of airport privatisation
04abbb8d91bd1a15a6c70ce3c0bd339f92468265.json,Key Findings and Lessons from an Evaluation of the Rockefeller Foundation's Disease Surveillance Networks Initiative
b14cea53956bc6bedf4cec3254ab8a3b5bae91e0.json,Sustainable management measures for healthcare waste in China
e6f2e1e2ed2134caf19b447eb237ef3cded423f3.json,Tourism Management Impact of crisis events on Chinese outbound tourist flow: A framework for post-events growth ☆
f9f1bacca8a3516f2eda225c06a9d66e97dcdf2e.json,Investigating public health emergency response information system initiatives in China
71c76951a89184cf302e4da51e86152f6562608f.json,The South Korean Hotel Sector's Perspectives on the ' Pre-' and ' Post-event ' Impacts of the Co-hosted 2002 Football World Cup
8467fd498e5b76cffe89afe4ac3c36c1ed2a6e10.json,Cointegration between oil spot and future prices of the same and different grades in the presence of structural change
6e98b4d80bfea57e42e465e78cdbc447fef90966.json,Appendix 9-2 Building Emergency Management Plan Building Emergency Procedures Manual
73aea1df4694235764281acbc9a19b37525b773e.json,Open Peer Review Exploring challenges of health system preparedness for communicable diseases in Arbaeen mass gathering: a qualitative study [version 1; referees: 3 approved]
c388d30ac348c2f712a3b597373ea8f4301aa173.json,The value of superstitions
fda7f14b05e34dd58cb8ce2616aab3af776983bd.json,Review of Airline-within-Airline strategy: Case studies of the Singapore Airlines Group and Qantas Group
998548cf6bc83b4dfc9d061a2a4425cc9506e82e.json,Developing WHO rapid advice guidelines in the setting of a public health emergency
88f1de42ca135e68ca9aa6a10081091fc4443028.json,Progress toward universal health coverage in ASEAN
d2efcad039335cee9afbc3ff40b7a1bcd5476f50.json,Provincial income inequality and self-reported health status in China during 1991-7
