file,title
634128ea7d7736750e1c3cd0a48bb37843d06dac.json,A Strategy To Estimate Unknown Viral Diversity in Mammals
8f8eb4f004c2002face0723f2f58cc411954d36e.json,Complete Genome Sequence of Bordetella bronchiseptica Strain KM22
3c3572ba243d61e7631725669c8f88347fdbd5bc.json,Veterinary Science Short Communication Prevalence of feline herpesvirus 1
4929c99a5e8e59b5e52b3cc3b92a15ecdb1eae7a.json,DIAGNOSIS OF TAURA SYNDROME VIRUS AND YELLOWHEAD VIRUS OF PENAEID SHRIMP
601d3c7ae4ebcd2d835e9cf8d7427ebd0b5db83f.json,Nonstructural proteins NS7b and NS8 are likely to be phylogenetically associated with evolution of 2019-nCoV
8763c9240b22a0e841ddb6e7e9a22ef3a566e97e.json,Decreased Sensitivity of the Serological Detection of Feline Immunodeficiency Virus Infection Potentially Due to Imported Genetic Variants
6085ea96b3a7c381215ba90b26f8664ae7c63178.json,Complete Genome Sequence of a Novel Swine Acute Diarrhea Syndrome Coronavirus
1506c3c38c0d1d33d49fac456b8e1111ab606c63.json,Full-length genome analysis of two genetically distinct variants of porcine epidemic diarrhea virus in Thailand
d3a3e10729a05105f1f08c22d83d402697b9c863.json,Rapid detection of human rotavirus using NSP4 gene specific reverse transcription loop-mediated isothermal amplification assay
4cb9c6ef889605b3149ab8b59c8258074067ba04.json,Detection of Group 1 Coronaviruses in Bats in North America
c8109883501e99e693034067c5eca5b03a87349a.json,Development of a real-time RT-PCR method for detection of porcine rubulavirus (PoRV-LPMV)
82d76d619e7be4f0ef2490f933d140ec9f722a55.json,Genetic drift of human coronavirus OC43 spike gene during adaptive evolution OPEN
704a894ab79031263de39fc49d954f7d13aa1bf2.json,Prevalence of Korean cats with natural feline coronavirus infections
969f0b82daeae1314bdff4efde971b1291acfdee.json,Genomes and seroprevalence of severe fever with thrombocytopenia syndrome virus and Nairobi sheep disease virus in Haemaphysalis longicornis ticks and goats in Hubei
9a0018c92f1de802d41d8d051bc3edda9637f303.json,Encephalomyocarditis virus is potentially derived from eastern bent-wing bats living in East Asian countries
6037a68877de95ae30afe19d82228d12a3b81f5b.json,Genomic characterization and pathogenicity of porcine deltacoronavirus strain CHN-HG-2017 from China
735dca3ec505ecf1a2e01d913c945a7d18f3efcf.json,Hepatitis E in southern Vietnam: Seroepidemiology in humans and molecular epidemiology in pigs Europe PMC Funders Group Europe PMC Funders Author Manuscripts Europe PMC Funders Author Manuscripts
fee63d10e8db56b72c9385149a4e57afa8500981.json,Polymorphisms in the feline TNFA and CD209 genes are associated with the outcome of feline coronavirus infection
579c3e846a43cb0ce9b8b50a9bec93eee16ac4f8.json,Development of fluorescent reverse transcription loop-mediated isothermal amplification (RT-LAMP) using quenching probes for the detection of the Middle East respiratory syndrome coronavirus
cf750714decab335f8990db7d0ca100506fa99fa.json,Novel Coronavirus and Astrovirus in Delaware Bay Shorebirds
ab728ce93b594b824d9c8b832637496f8649157a.json,Full-genome evolutionary analysis of the novel corona virus (2019-nCoV) rejects the hypothesis of emergence as a result of a recent recombination event
3e5b02da33d4a39e65f941412325663fcfd84fa1.json,Waterborne Transmission of Enteric Viruses and Their Impact on Public Health
225b622abc3a9d620cff32ffb50d0033472a2cf4.json,Molecular characterization of Cryptosporidium parvum from two different Japanese prefectures
e60dc2f814db6256844444e573ea98bc9a9b4a93.json,Avian cholera outbreaks threaten seabird species on Amsterdam Island
8c933d955d8adf7828db8ff08bd7106ea6fa448a.json,Heterogeneity of porcine reproductive and respiratory syndrome virus: implications for current vaccine ef®cacy and future vaccine development 5 ( 0 0 ) 0 0 1 9 6 -6
18acb42cf96716cbb91dd26e491e253cc130cb78.json,Isolation and characterization of a bat SARS-like coronavirus that uses the ACE2 receptor
1d5d0d4183fe51d96f016b2ca4b995a8a5efcdf7.json,Viruses in bats and potential spillover to animals and humans
aeaf5bd4725051f6926d06450566673d1cc4a639.json,Genomic characterization and infectivity of a novel SARS-like coronavirus in Chinese bats
e0cbbb6421bb2fb309021936921aaadadfe74844.json,The emergence of porcine epidemic diarrhoea in Croatia: molecular characterization and serology
f65e32132b0757560817f22d6ff3332a568c48fc.json,Serological Evidence of Toxoplasma gondii Infection in Five Species of Bats in China
3a8ca844ddeb23d089756643629ec7c1f947dd01.json,A single tube RT-PCR assay for the detection of mosquito-borne flaviviruses
fbfa537fb9a27cb273603c154fcad0d9d5c931e6.json,Molecular characterization of a virulent canine coronavirus BGF strain ଝ
1875e17137d0c71cc41c20c22be010f61dc1924d.json,Detection of feline Coronavirus in effusions of cats with and without feline infectious peritonitis using loop-mediated isothermal amplification
d45f0042fd65b1a24873bab4fb027c22d122d3d3.json,An Insect Nidovirus Emerging from a Primary Tropical Rainforest
613190af3c40eb22e479079068b6d7aed237faad.json,Discovery of a novel canine respiratory coronavirus support genetic recombination among betacoronavirus1
f161447bea90a1e414e3cb22557efe9156bab8e2.json,Use of consensus sequences for the design of high density resequencing microarrays: the influenza virus paradigm
34dfd4d983484d85d797e915cb47041aeb4ced86.json,Open Access RESEARCH An emerging recombinant human enterovirus 71 responsible for the 2008 outbreak of Hand Foot and Mouth Disease in Fuyang city of China
7969e6c3564904ffb7928747d52f3edcc7f97fff.json,Polymerase cross-linking spiral reaction (PCLSR) for detection of African swine fever virus (ASFV) in pigs and wild boars
2fc84e709c4978a92c3f4168a6c145080d1b046b.json,Presence of Infectious Bronchitis Virus Strain CK/CH/LDL/97I in the Middle East
999baa06c2bdc67ba7e4707ddcf5b3b296f85985.json,Detection and characterisation of canine astrovirus
3619c9e99ff6ceb2fa038d13239e6fce4e818995.json,Comparison of SYBR green I real-time RT-PCR with conventional agarose gel-based RT-PCR for the diagnosis of infectious bronchitis virus infection in chickens in Morocco
a286c95345592981acce2ffe297605fd083d9fe7.json,Molecular Characterization of the ORF3 and S1 Genes of Porcine Epidemic Diarrhea Virus Non S-INDEL Strains in Seven Regions of China
f8d7bf0b17bd6f014933e63947c95cef41489bd1.json,Comparative survey of canine parvovirus
21f92b1cf64847aa7f4342167d245016d4d8ab62.json,Porcine epidemic diarrhea virus (PEDV) introduction into a naive Dutch pig population in 2014
2851e74df0bf3b3169b499537c05b5e52afb32fd.json,Divergent coronaviruses detected in wild birds in Brazil
069b422b624f7d6bb46b8381030550a88a3b30dd.json,Alston Virus
b62576b1566e272b3f29f8a16ae06c1ec363707f.json,Enteric Colonization by Staphylococcus delphini in Four Ferret Kits with Diarrhoea ScienceDirect
ecee696015fbe0e5ec5d1a7c560fc8d1191d95a1.json,Veterinary Science Sequence analysis of the S1 glycoprotein gene of infectious bronchitis viruses: identification of a novel phylogenetic group in Korea
4e45854eace4e5bb9255ad31f7425545f931f3fe.json,Pseudorabies virus infection (Aujeszky's disease) in an Iberian lynx (Lynx pardinus) in Spain: a case report
0ac675fdff45bfddf5aea34d37f58ad7df4f78b9.json,Genome and Bioinformatic Analysis of a HAdV-B14p1 Virus Isolated from a Baby with Pneumonia in Beijing
e2b26fb1febcce2de00f4e178958e710cf468416.json,NOTE Development of a fluorescent loop-mediated isothermal amplification assay for rapid and simple diagnosis of bovine leukemia virus infection
42966e386536e2e45a30988e43e762c81e7ca6dc.json,MINI REVIEW Reservoirs of Porcine Circoviruses: A Mini Review
ddf124684188ac29dba3b174f327bd0fd62155bd.json,Co-Circulation of the Rare CPV-2c with Unique Gln370Arg Substitution
8ef52b5c1d218b49c5e4cb261a4fa8857e3e1543.json,Isolation
f6d97909fada387260787c6961eb1c4c36dac9d1.json,The emergence of novel sparrow deltacoronaviruses in the United States more closely related to porcine deltacoronaviruses than sparrow deltacoronavirus HKU17
39b54c3e0c3560b23189d363831c0b04f213055f.json,Molecular detection of bovine Noroviruses in Argentinean dairy calves: Circulation of a tentative new genotype
9fa81d8d9b302402c54cefce4885df1317658c13.json,Genome Sequences of Rhinovirus Genotype C56 Detected in Three Patients with Acute Respiratory Illness
8410861c6f772c3e6d5929bad28249aca6c8fcc5.json,Nonstructural protein 9 residues 586 and 592 are critical sites in determining the replication efficiency and fatal virulence of the Chinese highly pathogenic porcine reproductive and respiratory syndrome virus
cf92667ce9f346dd79bc980fdb5d21a5cf6b334a.json,Emerging Viruses in the Felidae: Shifting Paradigms
395fef2b73d1c568f900de94f5f6d908bc305f24.json,Detection of new genetic variants of Betacoronaviruses in Endemic Frugivorous Bats of Madagascar
8d193737d789fd8063a69c1b50a43047eaa82500.json,Parasites of the Giant Panda: A Risk Factor in the Conservation of a Species
84a964d5dde5ffc12076b7c43ac5fff52210ad61.json,Virology Journal Comparative analysis of full genomic sequences among different genotypes of dengue virus type 3
d697dea68ffa6906dc1068e6e078207f0cf364d7.json,A multiplex PCR for Massachusetts and Arkansas serotypes of infectious bronchitis virus
abb624287a5b93c29ec470b38dd4d03b21c8fc34.json,Complete genome sequence of an astrovirus identified in a domestic rabbit (Oryctolagus cuniculus) with gastroenteritis
9bfe1496240161146185e773d0d55aa45855d911.json,Armillifer-Infected Snakes Sold at Congolese Bushmeat Markets Represent an Emerging Zoonotic Threat
26029ce6e9b908af320d79f5386380f45578fb82.json,Analysis of synonymous codon usage in porcine reproductive and respiratory syndrome virus
bab3d2a212eaf7740a45ee8efeec3db99bf94589.json,Complete Genome Sequence of a Very Virulent Porcine Epidemic Diarrhea Virus Strain
695c98c88802f05a1fe080f1f50ba04b1d6511f3.json,Testing for viral contaminants of veterinary vaccines in Hungary
